transactionslist,cnt
smartphone,68723
"smartphone,smartphone",15081
"smartphone,smartphone,smartphone",4797
tv,4474
vacuum,2566
washer,2484
"smartphone,smartphone,smartphone,smartphone",2034
clocks,1294
tablet,1282
headphone,1138
"smartphone,smartphone,smartphone,smartphone,smartphone",908
"tv,tv",668
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",472
microwave,396
refrigerators,393
"washer,washer",361
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",311
"vacuum,vacuum",294
"tv,tv,tv",201
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",183
"tablet,tablet",177
"clocks,clocks",170
monitor,168
"tv,smartphone",161
"headphone,headphone",144
"smartphone,tv",140
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",128
"smartphone,headphone",127
"washer,washer,washer",93
"smartphone,clocks",84
printer,83
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",82
"washer,smartphone",81
"smartphone,tablet",70
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",68
"smartphone,vacuum",67
"smartphone,smartphone,headphone",59
"refrigerators,refrigerators",58
"clocks,clocks,clocks",58
"tv,tv,tv,tv",55
"notebook,smartphone",54
"smartphone,washer",53
"tablet,tablet,tablet",52
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",51
"smartphone,telephone",50
"clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,smartphone,smartphone,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks",46
"tv,smartphone,smartphone",45
"microwave,microwave",44
"clocks,smartphone",43
"tablet,smartphone",42
"headphone,smartphone",39
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",39
"washer,vacuum",35
"vacuum,vacuum,vacuum",35
"tv,washer",34
"smartphone,notebook",34
"clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,smartphone,clocks,clocks,clocks,clocks",33
